iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
187,52.35138130187988,479.28474769375634,174.3812598949352,330.6
188,13.188445806503296,479.28474769375634,186.90003378143894,346.2
189,11.03437066078186,479.28474769375634,195.69748815995416,365.4
190,18.61925458908081,479.28474769375634,180.86083603940241,332.0
191,17.917867183685303,479.28474769375634,182.50998605988144,334.2
192,18.417141437530518,479.28474769375634,172.46699111740057,315.7
193,16.0375919342041,479.28474769375634,173.60046426624484,319.3
194,16.006611824035645,479.28474769375634,183.02280885223956,336.3
195,15.799789190292358,479.28474769375634,176.36762258266603,325.1
196,18.724153995513916,479.28474769375634,181.3637628731156,331.0
197,16.326117515563965,479.28474769375634,184.05373048161064,334.7
198,14.923711776733398,479.28474769375634,177.55459898089833,324.9
199,13.912921905517578,479.28474769375634,175.0652138152719,320.4
200,12.911487340927124,479.28474769375634,176.53770984703402,319.4
201,14.812342643737793,479.28474769375634,190.46169756377827,341.7
202,8.268331289291382,479.28474769375634,184.28497505285924,331.4
203,19.361849784851074,479.28474769375634,199.79971604406398,361.5
204,16.63368034362793,479.28474769375634,199.16252556316212,360.7
205,14.733343839645386,479.28474769375634,185.26091649670772,337.7
206,16.833434581756592,479.28474769375634,183.8925820094491,332.6
207,19.39024257659912,479.28474769375634,176.8323812954357,325.4
208,8.317716121673584,479.28474769375634,191.29943232596284,349.9
209,15.256021738052368,479.28474769375634,198.451690087567,363.4
210,20.620718955993652,479.28474769375634,196.6828542558414,362.3
211,21.35477638244629,479.28474769375634,196.00322060361933,359.5
212,13.898540019989014,479.28474769375634,170.76617515130502,316.2
213,7.519575357437134,479.28474769375634,178.93547866719229,327.4
214,15.103661298751831,479.28474769375634,201.0348182763376,362.6
215,16.55764627456665,479.28474769375634,206.0449351340295,370.2
216,5.5553518533706665,479.28474769375634,214.65120578283137,385.1
217,8.898106098175049,479.28474769375634,226.32591698558235,408.5
218,19.329524040222168,479.28474769375634,216.67767120642762,394.7
219,18.042155742645264,479.28474769375634,214.4832153350555,391.7
220,22.881062030792236,479.28474769375634,190.0909246107032,349.4
221,15.079491138458252,479.28474769375634,182.94609057710622,334.4
222,15.668706178665161,479.28474769375634,178.14802066092443,327.9
223,6.397224545478821,479.28474769375634,186.9066567371812,344.4
224,16.54004430770874,479.28474769375634,194.81137639358536,352.7
225,13.017403602600098,479.28474769375634,196.4662241609792,355.7
226,15.387853860855103,479.28474769375634,198.93707352916687,357.9
